"tunnel_quartile","N","avg_tunnel_quality","avg_xRV","avg_actual_rv"
"Q1 (Worst)",606,0.530033681271348,-0.0051056817836896,-0.00200481725838581
"Q2",605,0.549737513062547,-0.00917666585984953,-0.00767792800401117
"Q3",605,0.56169856147533,-0.00999478959188205,-0.00725593961760242
"Q4 (Best)",606,0.583451007400026,-0.0105436723259895,-0.00804937511055737
