#,Name,MLBAMID,Team,STD_POS,Last,First,Lastv2,Firstv2
152,Blake Snell,605483,LAD,SP,Snell,Blake,Snell,Blake
153,Steven Okert,595345,HOU,RP,Okert,Steven,Okert,Steven
155,Robert Stephenson,596112,LAA,RP,Stephenson,Robert,Stephenson,Robert
165,Zach Eflin,621107,BAL,SP,Eflin,Zach,Eflin,Zach
166,Matt Strahm,621381,PHI,RP,Strahm,Matt,Strahm,Matt
167,Paul Sewald,623149,DET,RP,Sewald,Paul,Sewald,Paul
169,Brent Suter,608718,CIN,RP,Suter,Brent,Suter,Brent
170,Michael Wacha,608379,KC,SP,Wacha,Michael,Wacha,Michael
171,Kevin Gausman,592332,TOR,SP,Gausman,Kevin,Gausman,Kevin
173,Lance McCullers Jr.,621121,HOU,SP,McCullers Jr.,Lance,McCullers Jr.,Lance
176,Jose Berrios,621244,TOR,SP,Berrios,Jose,Berríos,José
177,Josh Hader,623352,HOU,RP,Hader,Josh,Hader,Josh
179,Ray Black,605143,MIL,P,Black,Ray,Black,Ray
180,Wandy Peralta,593974,SD,RP,Peralta,Wandy,Peralta,Wandy
181,Frankie Montas,593423,NYM,SP,Montas,Frankie,Montas,Frankie
184,Ty Blach,621389,TEX,SP,Blach,Ty,Blach,Ty
185,Tyler Glasnow,607192,LAD,SP,Glasnow,Tyler,Glasnow,Tyler
186,Amir Garrett,607237,TOR,RP,Garrett,Amir,Garrett,Amir
189,Jose Leclerc,600917,ATH,RP,Leclerc,Jose,Leclerc,José
190,Carlos Estevez,608032,KC,RP,Estevez,Carlos,Estévez,Carlos
191,Edwin Diaz,621242,NYM,RP,Diaz,Edwin,Díaz,Edwin
192,Paul Blackburn,621112,NYY,SP,Blackburn,Paul,Blackburn,Paul
194,Buck Farmer,571656,CIN,RP,Farmer,Buck,Farmer,Buck
195,Michael Lorenzen,547179,KC,SP,Lorenzen,Michael,Lorenzen,Michael
196,Joe Mantiply,573009,TOR,RP,Mantiply,Joe,Mantiply,Joe
197,Sam Moll,594580,CIN,RP,Moll,Sam,Moll,Sam
198,Jon Gray,592351,TEX,SP,Gray,Jon,Gray,Jon
199,Chad Kuhl,641771,ATL,RP,Kuhl,Chad,Kuhl,Chad
200,German Marquez,608566,COL,SP,Marquez,German,Márquez,Germán
201,Trevor Gott,641627,SEA,RP,Gott,Trevor,Gott,Trevor
203,Rob Zastryzny,642239,MIL,RP,Zastryzny,Rob,Zastryzny,Rob
204,Ben Heller,621294,CHC,RP,Heller,Ben,Heller,Ben
209,Andrew Heaney,571760,LAD,SP,Heaney,Andrew,Heaney,Andrew
211,Matthew Boyd,571510,CHC,SP,Boyd,Matthew,Boyd,Matthew
212,Jose De Leon,592254,BOS,RP,De Leon,Jose,De León,José
213,Lucas Giolito,608337,BOS,SP,Giolito,Lucas,Giolito,Lucas
214,Antonio Senzatela,622608,COL,SP,Senzatela,Antonio,Senzatela,Antonio
221,Miguel Castro,612434,CHW,RP,Castro,Miguel,Castro,Miguel
222,Luis Castillo,622491,SEA,SP,Castillo,Luis,Castillo,Luis
224,Joe Jimenez,641729,ATL,RP,Jimenez,Joe,Jiménez,Joe
