"pitcher","game_year","num_pitch_types","pitch_arsenal","total_combinations","total_pitches","release_similarity_arsenal","approach_divergence_arsenal","tunnel_quality_arsenal","tunnel_quality_percentile","release_sim_percentile","approach_div_percentile","tunneling_plus_score","tunneling_plus_percentile","avg_actual_rv","avg_xRV"
657044,2025,3,"FF/SI/SL",6,3888,0.338220862269525,0.884083595575684,0.611152228922604,98.7,99.1,71.7,105.9,88.5,-0.0127993827160494,-0.0132522036911263
641360,2024,2,"FF/SL",2,459,0.269291565441826,0.95288530912804,0.611088437284933,98.7,74.6,98.8,106.1,89.7,-0.00850980392156863,-0.0133905177846554
677958,2024,3,"FF/SI/SL",6,1278,0.318016498192207,0.903948317097061,0.610982407644635,98.6,97.1,90.1,101.3,54.2,-0.0123802816901408,-0.00974786520522334
656420,2025,3,"CH/FF/SL",6,480,0.301360630176332,0.920408786296806,0.610884708236569,98.6,92.1,95.5,91.6,3.7,0.06005,-0.00223878774304467
605177,2024,3,"FF/SI/SL",6,5802,0.306528062061562,0.91514933948566,0.610838700773611,98.6,94.3,94.3,100.1,41.1,-0.00770105263157895,-0.00876393236225627
690382,2025,4,"FC/FF/SI/ST",12,1422,0.299617887219799,0.921424930643452,0.610521408931625,98.5,91.7,95.8,99.1,31.8,-0.00403164556962025,-0.00803240906486591
656730,2024,2,"FF/KC",2,1998,0.282155237464464,0.938319616446985,0.610237426955725,98.5,83.7,97.7,117.5,99.9,-0.0248843843843844,-0.0222294667119359
621237,2024,2,"FC/SI",2,3036,0.311607370772042,0.908304213961445,0.609955792366743,98.4,95.8,92.2,104.2,79,-0.0131938674579624,-0.0119575265743341
592866,2023,6,"CH/CU/FF/SI/SL/ST",30,39300,0.337732487609438,0.882036320907772,0.609884404258605,98.4,99,68.6,90.9,3.3,0.00557050057317539,-0.00162736212972991
660853,2025,3,"CH/FF/SL",6,6630,0.345666210295986,0.873705345055208,0.609685777675597,98.3,99.3,56.3,103,69,-0.012668778280543,-0.0110145972088668
656464,2024,3,"FF/SI/SL",6,7104,0.318088625358796,0.89929606180633,0.608692343582563,98.3,97.1,87.3,102.7,66.6,-0.00973564189189189,-0.0107928063019711
605177,2025,3,"FF/SI/SL",6,3660,0.314220337247954,0.903026832257165,0.608623584752559,98.3,96.3,89.7,100.5,44.6,-0.0151098360655738,-0.00905409992050349
656945,2025,2,"FF/SL",2,2730,0.282951725055784,0.932861960388603,0.607906842722194,98.2,84.2,97.1,109.6,97.4,-0.0102131868131868,-0.016155372144767
664747,2024,2,"FF/SL",2,2931,0.287666916193471,0.927811212670731,0.607739064432101,98.2,86.4,96.5,106.2,90.2,-0.0125957011258956,-0.0135005991317595
675921,2023,3,"CH/FF/SL",6,480,0.29941299288367,0.915558002120911,0.60748549750229,98.1,91.6,94.5,99.5,35.8,-0.0012,-0.00829796540765528
682171,2023,3,"FF/SI/ST",6,1308,0.30698390908696,0.907650523103954,0.607317216095457,98.1,94.4,91.8,107.9,94.9,-0.0332571428571429,-0.0148321904735418
