"pitcher","game_year","num_pitch_types","pitch_arsenal","total_combinations","total_pitches","release_similarity_arsenal","approach_divergence_arsenal","tunnel_quality_arsenal"
621237,2024,2,"FC/SI",2,3036,0.311607370772042,0.908304213961445,0.609955792366743
592866,2023,6,"CH/CU/FF/SI/SL/ST",30,39300,0.337732487609438,0.882036320907772,0.609884404258605
660853,2025,3,"CH/FF/SL",6,6630,0.345666210295986,0.873705345055208,0.609685777675597
656464,2024,3,"FF/SI/SL",6,7104,0.318088625358796,0.89929606180633,0.608692343582563
605177,2025,3,"FF/SI/SL",6,3660,0.314220337247954,0.903026832257165,0.608623584752559
656945,2025,2,"FF/SL",2,2730,0.282951725055784,0.932861960388603,0.607906842722194
664747,2024,2,"FF/SL",2,2931,0.287666916193471,0.927811212670731,0.607739064432101
675921,2023,3,"CH/FF/SL",6,480,0.29941299288367,0.915558002120911,0.60748549750229
682171,2023,3,"FF/SI/ST",6,1308,0.30698390908696,0.907650523103954,0.607317216095457
552640,2024,3,"FF/SI/SL",6,6126,0.311051427974371,0.903535937702145,0.607293682838258
592866,2024,5,"CH/FF/SI/SL/ST",20,12768,0.357603573958431,0.856418286807507,0.607010930382969
669276,2024,3,"CH/FF/SL",6,5148,0.323411781622985,0.889685152407721,0.606548467015353
669459,2024,3,"FC/FF/SL",6,870,0.368012549105296,0.844325544892757,0.606169046999027
592662,2023,2,"FF/SL",2,270,0.331951005440808,0.880323533676565,0.606137269558687
669111,2024,2,"FF/SL",2,537,0.270008127973669,0.942043357534068,0.606025742753868
680742,2023,3,"FF/SI/SL",6,312,0.305429605320712,0.906553624372774,0.605991614846743
607179,2025,3,"FF/FS/SL",6,576,0.309787371006567,0.902052707914214,0.605920039460391
621242,2024,2,"FF/SL",2,2736,0.279694122343786,0.930717367155003,0.605205744749395
656464,2025,3,"FF/SI/SL",6,2946,0.307031512287469,0.903123863535897,0.605077687911683
669432,2023,4,"CH/FF/SI/SL",12,2970,0.334688266127848,0.875438832044115,0.605063549085981
656629,2025,2,"FC/FF",2,678,0.28634960797652,0.923641437797216,0.604995522886868
663432,2023,2,"FF/SL",2,54,0.260021745902872,0.949813485702153,0.604917615802513
543351,2023,2,"FF/SL",2,1308,0.26788884431567,0.941384952131507,0.604636898223588
622110,2023,2,"CH/FA",2,87,0.320318961716079,0.888253136356268,0.604286049036173
675911,2023,3,"CH/FF/SL",6,18576,0.293289019759843,0.91496791877315,0.604128469266496
682254,2024,2,"FF/SL",2,474,0.311086963742166,0.896342801121916,0.603714882432042
663546,2024,3,"FC/KC/SI",6,7254,0.314168890050769,0.892581227338277,0.603375058694523
543351,2024,4,"CH/FF/SI/SL",12,4077,0.33081391340964,0.874897465436127,0.602855689422883
686993,2025,3,"FC/FF/ST",6,6552,0.271680467404481,0.933848366228148,0.602764416816314
676755,2025,4,"CH/CU/FF/SL",12,6993,0.305623390976062,0.899141227369502,0.602382309172782
605154,2023,2,"FF/SL",2,2007,0.236083226784387,0.967748284898873,0.601915755841629
595014,2024,4,"FC/FF/SI/ST",12,6633,0.290135890839187,0.913303913195537,0.601719902017362
650671,2023,3,"CH/FF/SL",6,960,0.25842836441046,0.944805566085379,0.601616965247919
622491,2025,4,"CH/FF/SI/SL",12,26892,0.331698224743902,0.871408564544323,0.601553394644112
677053,2023,3,"CH/FF/SL",6,5748,0.253240980392288,0.949055248507145,0.601148114449717
687424,2025,2,"FF/SL",2,387,0.23942365262623,0.962609406072686,0.601016529349457
606160,2024,4,"CH/FF/SI/SL",12,6147,0.321644224095204,0.880173579786801,0.600908901941002
660813,2023,4,"FC/FF/SI/SL",12,8361,0.341629183360247,0.860171048814,0.600900116087124
642121,2023,3,"CH/FF/SL",6,504,0.285087450017105,0.916666645285922,0.600877047651514
606930,2024,3,"FC/FF/SL",6,6702,0.334057753468914,0.867691744509806,0.60087474898936
674003,2023,4,"CH/FC/FF/SL",12,8766,0.326922564698524,0.874294664147372,0.600608614422948
681867,2025,4,"CH/FC/SI/ST",12,2484,0.320546841869725,0.880214109087493,0.600380475478609
552640,2023,3,"FF/SI/SL",6,1116,0.306529523813844,0.892543375959539,0.599536449886692
594798,2023,4,"CH/CU/FF/SL",12,4059,0.308029545370713,0.890899315353433,0.599464430362073
