"tunneling_plus_tier","n_pitchers","pct_of_total","avg_tunneling_plus","avg_runs_saved_per_100","avg_tunnel_quality","avg_release_similarity","avg_approach_divergence"
"Elite (110+, +1 SD effect)",195,13.5135135135135,115.154822944983,0.952528543891871,0.560530697610335,0.246816751167245,0.874244644053425
"Above Average (100-110)",567,39.2931392931393,104.4594953625,0.263653312963589,0.561484101965732,0.245034532584843,0.87793367134662
"Below Average (90-100)",483,33.4719334719335,95.7026278083066,-0.300367668355715,0.560871985394004,0.243047363602455,0.878696607185552
"Poor (<90, -1 SD effect)",198,13.7214137214137,82.7874061807003,-1.13222402923792,0.560183752166219,0.246104543372731,0.874262960959708
