"pitcher","game_year","pitch_arsenal","n_pitches","avg_actual_rv","xrv_percentile","tunnel_quality_arsenal","release_similarity_arsenal","approach_divergence_arsenal","tunnel_quality_percentile","release_sim_percentile","approach_div_percentile","num_pitch_types","total_pitches","total_combinations"
660853,2025,"CH/FF/SL",3315,-0.012668778280543,65.8,0.609685777675597,0.345666210295986,0.873705345055208,98.4,99.4,56.4,3,6630,6
656464,2024,"FF/SI/SL",3552,-0.00973564189189189,55.3,0.608692343582563,0.318088625358796,0.89929606180633,98.4,97.4,87.7,3,7104,6
605177,2025,"FF/SI/SL",1842,-0.0153973941368078,75.6,0.608623584752559,0.314220337247954,0.903026832257165,98.4,96.5,90.1,3,3660,6
656945,2025,"FF/SL",2733,-0.0102996706915477,57.3,0.607906842722194,0.282951725055784,0.932861960388603,98.3,84.2,97.5,2,2730,2
664747,2024,"FF/SL",2931,-0.0125957011258956,65.3,0.607739064432101,0.287666916193471,0.927811212670731,98.3,86.5,96.9,2,2931,2
675921,2023,"CH/FF/SL",240,-0.0012,25.9,0.60748549750229,0.29941299288367,0.915558002120911,98.2,91.7,94.9,3,480,6
682171,2023,"FF/SI/ST",654,-0.0318256880733945,98.1,0.607317216095457,0.30698390908696,0.907650523103954,98.2,94.6,92.2,3,1308,6
552640,2024,"FF/SI/SL",3087,-0.018399416909621,84.9,0.607293682838258,0.311051427974371,0.903535937702145,98.1,95.9,90.3,3,6126,6
592866,2024,"CH/FF/SI/SL/ST",3192,-0.017640977443609,82.5,0.607010930382969,0.357603573958431,0.856418286807507,98.1,99.6,28.9,5,12768,20
669276,2024,"CH/FF/SL",2574,-0.0191946386946387,86.5,0.606548467015353,0.323411781622985,0.889685152407721,98.1,98.1,78.8,3,5148,6
669459,2024,"FC/FF/SL",435,-0.0216,91.4,0.606169046999027,0.368012549105296,0.844325544892757,98,99.9,14.9,3,870,6
592662,2023,"FF/SL",273,-2.19780219780208e-05,23.5,0.606137269558687,0.331951005440808,0.880323533676565,98,98.7,66.5,2,270,2
669111,2024,"FF/SL",540,-0.0261944444444444,95.9,0.606025742753868,0.270008127973669,0.942043357534068,97.9,75.2,98.4,2,537,2
680742,2023,"FF/SI/SL",168,0.0127321428571429,8.1,0.605991614846743,0.305429605320712,0.906553624372774,97.9,93.9,92,3,312,6
607179,2025,"FF/FS/SL",294,0.0157857142857143,6.3,0.605920039460391,0.309787371006567,0.902052707914214,97.9,95.5,89.4,3,576,6
621242,2024,"FF/SL",2736,-0.0129495614035088,66.9,0.605205744749395,0.279694122343786,0.930717367155003,97.8,81.7,97.2,2,2736,2
656464,2025,"FF/SI/SL",1473,-0.00255804480651731,29.2,0.605077687911683,0.307031512287469,0.903123863535897,97.8,94.7,90.2,3,2946,6
669432,2023,"CH/FF/SI/SL",990,-0.0152878787878788,75.1,0.605063549085981,0.334688266127848,0.875438832044115,97.7,98.9,59.5,4,2970,12
656629,2025,"FC/FF",693,-0.0208138528138528,90.3,0.604995522886868,0.28634960797652,0.923641437797216,97.7,85.9,96.5,2,678,2
543351,2023,"FF/SL",1329,-0.0272392776523702,96.6,0.604636898223588,0.26788884431567,0.941384952131507,97.6,73.5,98.4,2,1308,2
675911,2023,"CH/FF/SL",9291,-0.0154436551501453,75.7,0.604128469266496,0.293289019759843,0.91496791877315,97.6,89.5,94.5,3,18576,6
682254,2024,"FF/SL",474,-0.0131329113924051,68.2,0.603714882432042,0.311086963742166,0.896342801121916,97.6,95.9,85.3,2,474,2
663546,2024,"FC/KC/SI",3627,-0.0139354838709677,71.2,0.603375058694523,0.314168890050769,0.892581227338277,97.5,96.5,82,3,7254,6
543351,2024,"CH/FF/SI/SL",1359,0.00277704194260486,17.9,0.602855689422883,0.33081391340964,0.874897465436127,97.5,98.7,58.5,4,4077,12
686993,2025,"FC/FF/ST",3279,-0.015295516925892,75.2,0.602764416816314,0.271680467404481,0.933848366228148,97.4,76.7,97.6,3,6552,6
676755,2025,"CH/CU/FF/SL",2331,-0.0227850707850708,92.4,0.602382309172782,0.305623390976062,0.899141227369502,97.4,94,87.6,4,6993,12
605154,2023,"FF/SL",2013,-0.00979135618479881,55.7,0.601915755841629,0.236083226784387,0.967748284898873,97.4,43.1,99.5,2,2007,2
595014,2024,"FC/FF/SI/ST",2211,-0.0195915875169607,87.7,0.601719902017362,0.290135890839187,0.913303913195537,97.3,87.8,94.2,4,6633,12
650671,2023,"CH/FF/SL",483,-0.0246521739130435,94.7,0.601616965247919,0.25842836441046,0.944805566085379,97.3,65.8,98.6,3,960,6
622491,2025,"CH/FF/SI/SL",8964,-0.0108872155287818,59.7,0.601553394644112,0.331698224743902,0.871408564544323,97.2,98.7,52.3,4,26892,12
677053,2023,"CH/FF/SL",2874,-0.0130762004175365,67.7,0.601148114449717,0.253240980392288,0.949055248507145,97.2,61.7,98.8,3,5748,6
687424,2025,"FF/SL",387,0.0302170542635659,2.3,0.601016529349457,0.23942365262623,0.962609406072686,97.1,46.4,99.3,2,387,2
