"tunneling_plus_quartile","n_pitchers","avg_tunneling_plus","avg_tunnel_quality","avg_release_similarity","avg_approach_divergence","avg_actual_rv","avg_xrv","avg_runs_saved_per_100","median_runs_saved_per_100"
"Q4 (Top 25%)",361,111.866141335669,0.561834699441298,0.247359710648852,0.876309688233745,-0.0114537577466357,-0.00404667886622948,0.740707888040621,0.644999561628158
"Q3 (50-75%)",360,103.303331969329,0.560274124638452,0.243100676431679,0.877447572845225,-0.00451475226511283,-0.00262289228206316,0.189185998304967,0.176343989443506
"Q2 (25-50%)",361,97.6591122587949,0.56169806231512,0.243685328228786,0.879710796401455,0.00116836686192076,-0.000575157977531002,-0.174352483945176,-0.172487128396025
"Q1 (Bottom 25%)",361,87.1805649402772,0.560078980218533,0.244877895043694,0.875280065393371,0.00988376754731351,0.00139111637379849,-0.849265117351501,-0.719241462816755
