prev_pitch_type,pitch_type,n_pairs,runs_per_100
CH,CH,68720,0.029570569712604435
CH,CS,65,-0.21423257399874274
CH,CU,15351,0.0041200903585405695
CH,EP,6,-0.3473724013019819
CH,FA,45,-0.21542150682055056
CH,FC,19673,-0.024617136041317326
CH,FF,91215,0.009207037280734279
CH,FS,234,-0.015715624654712573
CH,KC,3158,0.03803238795727845
CH,KN,1,-0.7627014827448875
CH,PO,21,-0.37809285812337684
CH,SC,18,-0.11979108369107255
CH,SI,38059,-0.12364190054167327
CH,SL,27218,0.09628973058856584
CH,ST,12784,0.04441184259490373
CH,SV,930,0.09998189919591609
CS,CH,94,-0.09027379692608829
CS,CS,74,-0.051235285620252306
CS,CU,56,0.011313322451249925
CS,EP,33,0.034351722553599924
CS,FA,38,-0.20110813981390444
CS,FC,34,-0.1731895610673211
CS,FF,158,-0.02369909613786218
CS,FS,2,-0.5528327041247394
CS,KC,1,-0.171787673025392
CS,KN,1,0.07151697063818574
CS,SI,53,-0.2718558618927897
CS,SL,46,0.03776326155512715
CS,ST,16,0.06162626814329997
CS,SV,10,-0.09974227632483235
CU,CH,19569,-0.031884495343565675
CU,CS,76,-0.23173707475411662
CU,CU,36313,0.05261718772983497
CU,EP,2,0.008189315849449486
CU,FA,5,-0.18575004949525464
CU,FC,13750,-0.07241374086819653
CU,FF,52836,-0.041751323824957276
CU,FO,39,-0.010577992529411297
CU,FS,4615,-0.028101911126346493
CU,KC,22,0.08187876167911864
CU,KN,1,-0.22898357128724456
CU,PO,11,-0.3261088144261686
CU,SI,22334,-0.1366086715698207
CU,SL,14778,0.04626095362687169
CU,ST,5739,0.035707333170304646
CU,SV,268,-0.04905677494153041
EP,CH,7,-0.5057701874258262
EP,CS,33,-0.006401889120091007
EP,CU,1,-0.14715543074999005
EP,EP,756,-0.35982891579465703
EP,FA,294,-0.2736364714937999
EP,FF,5,-0.047438203710044036
EP,KN,15,-0.5044497563236897
EP,SL,4,0.04859995278820861
FA,CH,42,-0.22069560211331832
FA,CS,43,-0.07127332269721041
FA,CU,8,0.05314861609804211
FA,EP,288,-0.2001705078813624
FA,FA,886,-0.28154298156146607
FA,FF,16,-0.25153355250040477
FA,KN,27,-0.34414734351047277
FA,SI,1,-0.5192661134060472
FA,SL,3,0.24531408283413234
FC,CH,18997,0.039774165350684385
FC,CS,28,-0.25270020833626666
FC,CU,14120,-0.006651554526115091
FC,EP,1,-0.23371680290438235
FC,FA,2,-0.3286561885033734
FC,FC,56173,-0.017246673052393618
FC,FF,48613,-0.03589746174466863
FC,FO,269,0.12726378856477247
FC,FS,4490,0.04970129670548831
FC,KC,3329,0.08048827172567749
FC,KN,145,-0.07542450484944029
FC,PO,16,-0.37158196214477357
FC,SC,4,-0.4638015197997447
FC,SI,32251,-0.09608819532175647
FC,SL,12715,0.13137186800360384
FC,ST,15050,0.04179034803365672
FC,SV,792,0.015901023739170433
FC,UN,2,-0.05455099744722247
FF,CH,85725,0.01725416534838635
FF,CS,150,-0.14219245663934998
FF,CU,55636,-0.008911219623447417
FF,EP,4,-0.2270688710268587
FF,FA,16,-0.18452221938503044
FF,FC,50465,0.004920512134349864
FF,FF,359143,0.018581644062075423
FF,FO,721,0.015924308019547223
FF,FS,25781,0.08173976372986978
FF,KC,17037,0.047487210193608555
FF,KN,285,-0.03485019616411528
FF,PO,64,-0.35096676764823087
FF,SC,116,-0.1961142614677242
FF,SI,58191,-0.0771045520043496
FF,SL,127146,0.1466689278461091
FF,ST,49606,0.09294799839909583
FF,SV,3817,0.08806365599649923
FF,UN,7,-0.4313998590077972
FO,CU,43,-0.3171115328462102
FO,FC,286,-0.04112398205165051
FO,FF,718,-0.05419622910175847
FO,FO,746,0.04316617474389519
FO,FS,4,-0.026323587280785432
FO,SI,112,-0.20815976847156242
FO,SL,107,0.054673217108773944
FO,ST,114,-0.1946118635762679
FS,CH,213,-0.10533309203386962
FS,CS,2,-0.3299335454357788
FS,CU,3688,-0.03869978307875653
FS,FC,4703,-0.01389399238285136
FS,FF,26644,0.04096401882868259
FS,FO,13,-0.3439184396903818
FS,FS,23511,0.08672488264362566
FS,KC,1030,0.03946236148050772
FS,PO,7,-0.14997129941808193
FS,SI,7108,-0.12094259052688186
FS,SL,6763,0.06695065430695436
FS,ST,3193,0.03212799677096364
FS,SV,185,0.013035295524983863
FS,UN,1,-0.5117314227391034
KC,CH,3872,-0.0018531857551900709
KC,CU,20,-0.09824733122513862
KC,FC,3305,-0.04009280983091945
KC,FF,16143,-0.004756011942834432
KC,FO,1,-0.16669046453898773
KC,FS,1186,-0.10829717044662995
KC,KC,12499,0.1042106900595073
KC,SI,5620,-0.10583102368891162
KC,SL,4377,0.08672537110436902
KC,ST,959,-0.0035991197115332703
KC,UN,1,-0.5823669256642461
KN,CH,4,0.00921530586310837
KN,CU,1,-0.055240170331671834
KN,EP,16,-0.1676369226515817
KN,FA,25,-0.24691811038064768
KN,FC,136,-0.060548506236473794
KN,FF,291,-0.07617057673060836
KN,KN,487,-0.007229292067176805
KN,SI,259,-0.25266848768079053
KN,SL,18,0.02651224787971134
KN,ST,230,-4.052375422124106e-4
PO,CH,27,0.10336076431066751
PO,CU,15,-0.06087741300386066
PO,FC,17,-0.06849000064368524
PO,FF,35,0.004783836468829707
PO,FS,5,0.06738133612088859
PO,KC,1,0.38683335296809673
PO,PO,2,0.03430915658100275
PO,SI,31,-0.1095094907169926
PO,SL,34,0.22809793655837626
PO,ST,12,0.21173775324617358
PO,SV,1,0.7171496457885951
SC,CH,26,-0.09753176012824183
SC,CU,1,-0.002452688931953162
SC,FC,2,-0.04722671801573597
SC,FF,124,0.023388102571178963
SC,SC,60,-0.09023763369289858
SC,SI,9,0.1463761433519216
SC,SL,23,0.31707355984785274
SC,ST,14,0.24772859913874917
SI,CH,37800,-0.03405480430863538
SI,CS,54,-0.16087702779259416
SI,CU,23111,0.0356997534140014
SI,FA,1,-0.29744099301751703
SI,FC,32752,-0.007595742379056396
SI,FF,57778,-0.020735812502236158
SI,FO,105,0.03992534579348709
SI,FS,7275,-0.02175392041664926
SI,KC,5704,0.09235468529846587
SI,KN,242,-0.03739188597496312
SI,PO,31,-0.23765392423727816
SI,SC,15,-0.16951295163986893
SI,SI,153417,-0.04844619883277466
SI,SL,54327,0.1482309234106737
SI,ST,38278,0.09638589884068685
SI,SV,2661,0.10237349778592737
